index,0,1,2,3,4,5,6,7,8,9
11,5937,7334,7743,8496,26147,33072,50011,60514,31445,39444
14,5269,7708,4833,1387,6791,33725,34405,6888,1699,913
18,6617,26562,109487,51698,3060,7297,26782,56757,62956,149
25,157,4161,7708,6888,33725,5269,4833,74089,1699,913
31,2167,8576,71691,109673,1036,72605,74089,1707,1375,33838
35,40278,57640,1834,6598,1883,3448,7790,4847,2371,913
43,913,4161,6612,33725,157,7708,4833,74089,1699,5269
50,3060,7616,26782,7025,7297,26562,51698,56757,62956,149
58,8446,109487,3060,51698,26782,26562,56757,62956,7297,149
60,109487,6617,26562,102684,26782,51698,62956,7297,56757,149
61,7216,97057,91199,27373,27878,48879,55255,34359,836,6093
65,1387,6791,4833,5269,4847,1883,89305,2371,1699,913
72,7141,1387,57640,1834,4847,87430,31101,7790,2371,913
77,26782,109487,7025,8446,3060,62956,56757,7297,26562,149
82,102684,7025,3060,26782,26562,7297,51698,62956,56757,149
85,6888,87430,8341,6791,3448,1883,2371,7790,1387,913
90,3060,7616,26782,26562,6617,56757,62956,51698,7297,149
91,34405,157,7789,2394,1699,5269,74089,913,4833,33725
96,58655,6763,31101,802,87430,3205,1834,3698,913,7790
98,3060,102684,26782,7025,51698,62956,7297,26562,56757,149
99,40815,90524,4688,3646,1361,51660,1225,3882,3159,663
102,78574,7705,7708,83369,6996,6791,1699,708,6888,913
116,42009,4795,337,953,85397,3205,4470,5974,116823,628
121,49276,56757,27311,26562,7025,26745,2253,1936,51698,149
124,7345,8496,31431,63876,65188,112171,3578,53921,67695,97921
129,27373,26939,529,3090,7216,34359,89190,4194,97057,48879
132,986,5107,71131,1036,5269,2394,1707,93498,6358,74089
133,27311,7616,26782,7025,102684,62956,51698,7297,56757,149
135,2707,595,1958,8601,87876,2028,431,553,1356,5782
136,3966,6586,193,778,5418,33072,50011,88950,5937,7743
147,57792,102194,27036,4727,2798,101962,48879,40732,107348,2470
152,58025,97168,1019,103539,8341,7141,5404,1963,7790,913
154,6377,2447,1091,2000,33669,64969,59126,3176,2436,3658
155,903,5418,6586,60514,77846,108945,112171,5294,7086,8496
162,102684,26782,3060,7025,26562,7297,51698,62956,56757,149
163,101525,99468,44761,4862,33669,44301,4886,1091,90645,2000
168,7616,3060,7025,26782,26562,51698,7297,62956,56757,149
175,3079,2167,1375,2457,7008,74089,109673,93498,3730,6335
182,3681,3653,92507,68952,59126,44301,8908,2447,4886,8494
189,51638,57640,3037,3205,31101,58655,1834,316,7790,913
190,6617,26782,102684,7025,7297,26562,51698,62956,56757,149
201,6617,7025,3060,26782,51698,26562,7297,62956,56757,149
204,102684,3060,7025,26782,51698,26562,7297,62956,56757,149
205,3060,26782,102684,26562,7025,62956,7297,51698,56757,149
206,102684,7025,3060,26782,26562,7297,51698,56757,62956,149
208,102684,7025,3060,26782,26562,51698,7297,62956,56757,149
209,61132,74685,112138,47644,3565,1995,81786,3812,5005,1984
211,77206,26842,54286,7338,1769,4552,2070,5107,6869,2145
213,102684,7025,3060,26782,26562,7297,51698,62956,56757,149
215,102684,3060,7025,26782,51698,7297,26562,56757,62956,149
218,6617,7025,3060,51698,26782,26562,7297,56757,62956,149
220,26147,6971,3668,7235,2094,69406,3770,26578,71468,90645
232,3037,802,6763,87430,4470,913,1136,1834,3205,7790
237,2413,3629,101025,59126,8967,58303,954,71252,3153,8923
239,109487,7616,26782,26562,7025,7297,51698,62956,56757,149
241,109487,26782,3060,7025,51698,7297,26562,62956,56757,149
248,40278,316,1834,74228,802,87430,1136,58655,7790,3205
252,6579,71131,5107,59549,54286,4813,1377,68932,1385,3090
254,26782,7297,7025,7616,26562,102684,62956,51698,56757,149
258,44731,65188,63876,3966,8273,4228,45028,99468,4862,44301
264,3981,31431,67695,2939,5095,8928,7086,83132,943,59126
266,2926,57640,3698,6763,2371,1834,3205,87430,913,7790
271,70984,87079,88950,93270,104879,31445,60514,112171,3633,108945
279,52604,54513,59392,70984,87079,93270,104879,5418,108945,7334
284,2926,3205,2371,7141,31101,57640,87430,1834,913,7790
285,37853,32584,3310,71131,208,7492,111360,4846,2495,90469
294,102684,3060,26782,7025,51698,26562,7297,62956,56757,149
304,102684,3060,7025,26782,26562,51698,7297,56757,62956,149
312,6617,7616,26782,51698,3060,26562,56757,7297,62956,149
313,1380,108981,44555,60904,26865,47,299,51698,2012,71619
316,26782,7616,2028,62956,56757,8799,7025,4276,149,51698
317,2470,3232,32525,123,26736,1304,23,6957,5266,31422
318,1883,5956,2371,4847,1387,6888,4589,1699,6791,913
337,7616,7025,102684,26562,62956,56757,26782,51698,7297,149
340,7025,102684,3060,26782,26562,7297,51698,62956,56757,149
342,87079,93270,104879,112171,53921,108945,2501,8928,5095,2557
348,102684,7616,26782,7025,7297,51698,26562,56757,62956,149
351,102684,3060,26782,7025,62956,26562,7297,56757,51698,149
359,5574,78574,3841,6791,1699,3727,89305,5269,4847,65216
361,26782,51698,102684,7025,3060,26562,7297,56757,62956,149
367,1387,6598,1834,2676,8341,4847,3448,7790,2371,913
370,7025,109487,3060,51698,26782,26562,7297,56757,62956,149
372,67695,108945,26147,190,44731,8928,8273,4862,4886,44301
375,3060,102684,7025,26782,51698,26562,7297,56757,62956,149
379,54513,59392,70984,87079,93270,104879,33072,193,2501,71252
383,109487,26782,3060,7025,51698,7297,26562,62956,56757,149
387,7616,26782,102684,7025,7297,26562,62956,51698,56757,149
